2, Odd Numbers, Even Numbers
1 + 1, Even Numbers
1 + 2, Odd Numbers
13 + 1, Even Numbers
4 + 1, Odd Numbers
1 + 5, Even Numbers
10 + 1, Odd Numbers
2 + 0, Even Numbers
2 + 3, Odd Numbers
3 + 3, Even Numbers
4 + 3, Odd Numbers
4 + 8, Even Numbers
4 + 5, Odd Numbers
9 + 7, Even Numbers
8 + 1, Odd Numbers
7 + 3, Even Numbers
9 - 0, Odd Numbers
1 - 1, Even Numbers
8 - 5, Odd Numbers
8 - 4, Even Numbers
8 - 3, Odd Numbers
9 - 3, Even Numbers
11 - 6, Odd Numbers
6 - 2, Even Numbers
12 - 3, Odd Numbers
4 - 0, Even Numbers
4 - 3, Odd Numbers
16 - 8, Even Numbers
7 - 2, Odd Numbers
5 - 1, Even Numbers
14 - 9, Odd Numbers
1 x 2, Even Numbers
1 x 3, Odd Numbers
4 x 1, Even Numbers
7 x 3, Odd Numbers
2 x 2, Even Numbers
3 x 3, Odd Numbers
3 x 4, Even Numbers
5 x 3, Odd Numbers
2 x 7, Even Numbers
7 x 5, Odd Numbers
8 x 3, Even Numbers
5 x 1, Odd Numbers
5 x 4, Even Numbers
11 x 3, Odd Numbers
9 x 8, Even Numbers
6 / 2, Odd Numbers
8 / 2, Even Numbers
10 / 2, Odd Numbers
0 / 3, Even Numbers
7 / 1, Odd Numbers
8 / 1, Even Numbers
21 / 3, Odd Numbers
12 / 6, Even Numbers
9 / 1, Odd Numbers
10 / 5, Even Numbers
18 / 6, Odd Numbers
4 / 2, Even Numbers
1 / 1, Odd Numbers
14 / 7, Even Numbers
35 / 7, Odd Numbers
